Spørsmål ID,Spørsmål,A,DEMN,DNI,FRED,FRP,GENP,H,HELSE,INP,KRF,KRISTNE,MDG,PP,PS,RØDT,SP,SV,V
6d848e61-c1ab-552e-b9a4-b793396e51b7,Vi bør innføre et tredje juridisk kjønn.,1,-2,-1,-1,-2,-2,-1,-2,-2,-2,-2,2,-1,2,2,-1,2,2
70a1feb7-907e-57f1-9499-39e991be2fd1,Skolegudstjenester skal fortsatt være en tradisjon i Norge.,2,2,1,-1,2,1,2,1,2,2,2,-2,1,2,-1,2,-2,1
7ca75397-b68a-54da-8137-b948dd5d41c5,Det bør bli like billig å gå til tannlegen som til fastlegen.,1,2,2,2,-1,2,-2,2,2,2,1,1,2,2,2,2,2,-1
7dff5635-bac0-5f55-bbf2-b802c7c72fbb,Innvandring har gjort Norge til et bedre land.,2,-2,-1,2,-2,-1,1,1,-2,1,-2,2,-1,2,1,1,2,2
80d5b2a8-67b2-5e37-8d47-2071370518df,Politikerne bør vedta en aldersgrense for bruk av sosiale medier.,2,2,-1,2,-1,2,2,-1,1,2,1,2,1,-2,2,2,2,1
8a2a1939-48df-588a-8b88-1a75cc050c55,Norge må bli medlem av EU.,-1,-2,-2,-2,-2,-2,1,-2,-2,-1,-2,2,-2,1,-2,-2,-2,2
99615b42-bac4-5a45-a78b-d812782b17be,Nordmenn må spise mindre kjøtt. ,1,-2,-2,1,-2,-2,-2,-2,-2,-1,-2,2,-1,2,1,-2,1,1
ac4f9c4d-3e9a-5785-b9a4-ca215e2f6ee6,Det må bli slått hardere ned på hatefulle ytringer.,1,-2,2,2,-2,-1,-1,-1,-1,1,-2,2,2,2,2,1,2,1
adfb3113-f827-58f0-a2c4-1436c49511b2,Oljefondet må ut av alle israelske selskaper.,-1,-2,2,2,-2,2,-2,2,-1,-2,-2,2,1,2,2,-1,2,2
cf9725a2-055b-546c-8825-8a875d98584b,Dyr strøm gjør at det bør være langt færre kraftkabler mellom Norge og utlandet.,1,2,2,2,2,2,-2,1,2,1,2,-2,2,-2,2,2,2,-2
d669fda8-2b99-5a31-bac1-d6a337f32ac4,Det er en god idé å slette noe av studiegjelda for de som vil bo i distriktskommuner.,1,2,2,1,-2,2,-1,1,2,1,1,1,1,1,1,2,1,1
db45ca74-9fc6-5a5b-b510-0cc6fa6be03d,"Det haster med å ruste opp, og den planlagte opptrappingen i Forsvaret må fremskyndes.",1,2,2,-2,2,2,2,1,2,2,2,1,2,1,-1,2,-1,2
ea0f9a1c-8a9c-47d7-81e3-1934d8ef0d6a,Det er for tidlig for seksåringer å begynne på skolen.,-2,2,2,-1,-1,2,-1,1,2,2,1,2,-1,-1,2,-1,-2,-1
f47de373-dc27-5d4a-ae95-91071d845541,Private omsorgsbedrifter må slippe mer til i eldreomsorgen.,-1,2,1,-2,2,2,2,2,1,1,2,-1,2,1,-2,-1,-2,2
00f36866-326d-53b8-9de0-d960226dcd6a,Vi bør slutte å gi våpen til Ukraina.,-2,2,-2,2,-2,-1,-2,-1,-2,-2,1,-2,-1,-2,-2,-2,-2,-2
01ee94b8-b3ac-54ac-bd3a-5b852ed4b188,Norge må si opp EØS-avtalen vi har med EU med én gang.,-2,2,2,2,-2,1,-2,1,2,-2,2,-2,-1,-2,1,1,-1,-2
02161a52-f79b-54ca-8632-cefcb8cd025c,Det må fortsatt være straffbart å ha små doser narkotika du har tenkt å bruke selv.,1,2,-1,1,2,-2,-2,1,-1,2,2,-2,2,-2,-2,2,-2,-2
06a3bcf4-9ea7-5e57-9ca1-a11a5fbd9738,Det er greit å bruke bompenger for å få ned biltrafikken i vestfoldbyene.,1,-2,-2,-1,-2,-2,1,-2,-2,1,-2,2,-2,2,-2,-1,2,1
0815e831-c7f8-52ae-81d2-70a225119713,Vi må ta imot flere flyktninger fra andre land – selv om det er mange ukrainere her.,-1,-2,-1,2,-2,-2,-2,1,-2,1,-2,2,-1,2,2,-2,2,2
0864a918-83ab-5690-9614-f36a588ee813,Småbarnsforeldre bør selv få velge hvordan de fordeler permisjonen mellom seg.,-2,2,2,2,2,2,1,2,1,2,2,-1,2,-2,-2,-1,-2,-2
0aebf3a9-339a-5d97-ae08-2525062cb64c,Norge må melde seg ut av Nato.,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-1,-2
0c91145b-ab9d-5e54-9e3a-3343aebd1bb6,Arealinngrep i samiske områder kan bare skje når samene har gitt tillatelse. ,-1,2,-1,2,-2,2,-2,1,1,1,-2,1,-1,-1,2,-1,2,-1
0cf1e822-bdee-581c-b164-2d73df2a5db1,Nordmenn med god råd bør betale mer i skatt enn i dag.,1,-2,-2,2,-2,2,-2,-1,-2,-1,-2,1,-2,1,2,-1,2,-1
0f85d55f-03e2-5bee-bf29-aa28050587a8,Oljefeltene må få strøm til produksjonen sin fra land eller havvind.,1,-2,-2,-2,-2,-2,1,-2,-2,-1,-2,-2,-2,-1,-2,-1,1,1
1111f431-b07c-59ec-bb44-66ef65391c4b,Det er altfor store pengeoverføringer fra staten til bøndene.,-1,-2,-2,-2,2,-2,2,-2,-2,-1,-1,-2,-1,-2,-2,-2,-2,-1
1533ad56-150b-5263-b090-be48af8eef37,Asylsøkere bør sendes til egne asylsentre utenfor Europa der søknaden blir behandlet.,-1,2,1,-2,2,1,1,-1,2,-2,2,-2,-1,-2,-2,-1,-2,-2
218cec71-1f17-57fe-84a7-8acfc8cce946,Statlige lån til batterifabrikken Morrow i Arendal må droppes.,-2,2,2,2,2,2,1,2,2,-2,2,-1,2,-1,-2,-1,-1,-1
2ba13d73-9d0f-5f90-9381-43d8893224c7,Unge voksne bør som hovedregel ikke kunne få tildelt varig uføretrygd.,1,1,-2,-2,2,-2,2,-1,2,2,1,-2,1,-2,-2,1,-2,1
2cb5c794-8af5-5e8a-b307-030523eefd7c,Det er rett å gjennomføre elektrifisering av Melkøya fordi det er et viktig klimatiltak.,2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-1,-2
2f2d523c-34ac-5444-ad51-8810a10f44fe,Viken park bør bygges selv om det går ut over sårbar natur.,2,-2,1,-1,2,-2,2,-1,-2,2,-2,-2,1,-2,-2,1,-2,-2
31000790-2222-55f0-82d3-3c517cbef665,Unge med inntekt må få lån til å kjøpe egen bolig selv om de mangler egenkapital.,-1,2,2,1,2,2,2,1,1,2,1,1,1,1,-1,1,1,2
321b5ea8-4a3b-53ac-8162-8bc66f965531,For å verne villrein i Rondane er det nødvendig med mindre selvstyre for kommunene.,-2,2,-2,1,-2,1,-2,-1,-1,1,-1,2,-1,2,1,-1,2,2
3316f653-21e6-508d-9490-852d942c34f3,Det må bygges et tredje sykehus i Alta i Finnmark.,-1,2,2,-1,2,2,-2,2,2,2,2,-2,1,2,1,-2,-1,2
3a8f35fd-d623-5e7b-9fff-f2c41eaeaa7f,I noen områder bør politiet få ransake for våpen uten å ha konkret mistanke.,-1,2,1,-2,2,-2,2,-1,2,2,2,-2,1,-2,-2,2,-2,-2
3c588862-6ca6-576e-a578-0e9b00396bdf,Vi må ha lover som begrenser kunstig intelligens i arbeidslivet og skolen.,1,1,1,2,-1,-1,-2,-1,1,2,-1,1,2,1,1,1,2,-1
3d79aebb-1482-555e-a3a6-a5b751be6567,Det må være forbud mot fiske i det meste av Oslofjorden.,1,2,-2,2,-2,2,1,-1,-1,2,-1,2,1,2,2,-2,2,2
3e536cde-7e36-5339-8f01-1315fc5d7d2b,Ullevål sykehus kan fortsatt reddes.,-2,2,2,2,-2,2,-2,2,2,-1,2,2,2,-2,2,2,2,1
3ef7538b-0f21-5c80-8901-41b725f27b3d,Det er på tide å avvikle statens milliardstøtte til elbiler.,-1,2,2,1,-1,-1,-1,1,2,1,2,1,-1,-2,1,1,-1,-1
3fd3280e-5b62-532a-8078-c360edcb3aca,"Småskolebarn bør ha gratis heldagsskole med mat, SFO og fritidsaktiviteter. ",2,-2,1,2,-2,2,-2,1,1,-2,-2,-1,-1,1,1,-1,2,-1
4ec43d88-785f-5fdc-be0a-a3dd739f11cd,Nord-Norgebanen må bygges.,1,2,2,2,1,2,-2,1,2,-1,-2,1,2,1,2,1,2,-1
53f70515-0a47-561a-96e4-050c440b0b7a,Vestfold bør bli testfylke for å se om vi klarer oss uten fylkeskommune i Norge.,-2,2,2,-2,2,2,2,-1,-1,-1,2,-1,2,-2,-2,-2,-2,-1
54ca3bdb-7af9-5ce7-9e94-f5e52706ba6c,Å bruke 35 milliarder kroner på havvindprosjektet Utsira Nord er bortkastede penger.,-2,2,2,-1,2,2,-1,2,2,1,2,-1,2,-2,2,-2,-2,-2
56043595-3b98-5884-9df0-571ac6680b33,Skoleelever vil lære mer dersom de oftere blir inndelt i grupper etter ferdighetsnivå.,-1,2,1,-2,2,1,1,1,1,-1,2,-1,1,-1,-2,-1,-2,1
5a6f06db-0bd8-58c9-9c41-e825df3de158,Det er riktig å bruke rundt 10 milliarder kr på oppussing av Nationaltheatret i Oslo.,1,-2,2,-1,-2,2,-1,-1,2,-2,-2,1,-1,1,-1,-2,1,1
5cb97d4f-03f9-57b5-9ce1-b3f99b1eb647,Togtilbudet blir bedre dersom det blir enda mer konkurranse mellom togselskaper. ,-1,-2,-2,-2,2,-2,2,-1,-2,1,1,-2,1,-2,-2,-2,-2,2
5dbadc80-815b-5155-8e48-667c816d8628,Evjemoen bør gjenoppstå som militærleir for hæren.,-1,2,2,-2,1,1,1,1,2,1,2,-2,2,1,-2,2,1,1
64fdf750-5233-50c3-b4b5-f7c242014fc3,Staten må øke støtten slik at flyreiser til småflyplassene blir billigere enn i dag.,-1,2,2,-2,-1,2,-1,1,2,1,1,-1,1,-1,1,2,-1,-1
6639a804-83fe-5e8a-b035-11ddbcccaab4,Målet om nullvekst i biltrafikken på Nord-Jæren må fjernes.,-2,1,2,-2,2,2,-1,2,2,-2,2,-2,1,-2,2,1,-2,-2
6bcd402b-6029-518e-8d07-a18b88fee810,Dropp å bygge Hordfast som del av ferjefri E39.,-1,1,-2,1,-2,2,-2,-2,1,-2,-2,2,-2,2,2,-1,2,1
6c94c10a-53f2-502b-a415-fd6a1533ed3f,Bilistenes bompengeregning må reduseres kraftig.,-1,2,2,1,2,2,-1,2,2,-1,2,-2,2,-2,2,1,-1,-2
6f510f4a-1803-54ce-98f9-26ab595e20ae,"Havvindsatsingen er for dyr, og bør droppes.",-2,2,2,2,2,2,-1,2,2,1,2,-2,2,-2,2,1,-2,-1
73e4409e-052d-5b11-a0fc-684dd0b0e87a,Det var riktig av Norge å anerkjenne Palestina som selvstendig stat nå.,2,-2,2,2,-2,2,-1,1,-1,-2,-2,2,2,2,2,2,2,2
76abf977-2d9e-5fe7-8f78-7cd517b07b88,Det bør åpnes for gruvedrift flere steder i Trøndelag.,1,1,2,-2,2,-1,1,1,2,1,2,-1,2,1,1,2,-2,-1
7a1b52fd-835b-5beb-b791-68905903ad90,Kommunene i Innlandet bør få mindre selvstyre i saker om hytteutbygging.,-2,2,-2,1,-2,1,-2,-1,-2,-1,-2,2,-1,1,1,-2,1,1
80001344-09f9-5395-a5d1-b91d308ab844,Tros- og livssynssamfunn bør skaffe pengene sine selv.,-2,2,2,-1,2,2,-1,-1,2,-2,2,-2,-1,-2,-1,-2,-1,1
83df4360-232f-5b1c-8609-edb0620e1500,Det er fornuftig at utenlandske studenter på norske universitet betaler skolepenger.,1,2,2,-2,2,2,2,1,2,-2,2,-2,1,-2,-2,2,-2,-2
84080e16-3f54-5f11-8e0d-57174a944192,Vi skal slutte å bygge vindkraft på land i Norge.,-1,2,2,2,1,2,-2,2,2,-1,2,-1,2,-1,2,-1,1,-1
84eaa768-9f5c-5bfa-8c13-087e690a4436,Raskere og hyppigere tog på Trønderbanen er viktigere enn bilvei.,-1,1,1,2,-2,2,-2,2,-2,1,-2,2,1,2,2,-1,2,2
87ef20e9-b6f0-528b-8a0d-3aa19c3bd11c,Avgiften på mat og drikke (matmomsen) bør være om lag halvparten av det den har vært. ,-2,2,1,1,2,2,-2,-1,1,-2,1,1,2,-2,1,2,1,-1
891f22c1-9be6-5d30-b70e-e6881f96e1bc,Gul midtstripe på veien er viktigere enn ferjefri E39 i Nordfjord og Sogn.,2,1,1,2,1,1,1,-1,1,2,2,2,-2,2,1,2,2,2
8b0ce07a-17b0-5596-b7ec-25373e8f83ea,Det må være en makspris på strøm slik at strømregninga ikke blir for høy for folk.,1,2,2,2,2,2,-1,1,2,2,1,-1,2,-1,2,1,1,-1
94f2c41f-b496-5662-ba09-932c53c156e2,Det bør bli strengere regler for korttidsutleie som Airbnb.,1,-2,-2,2,-2,-2,-2,-1,1,-1,-2,2,1,1,2,1,2,-1
98a0ae78-1a4f-504f-82f5-5a87178c8bd2,Jeg synes vi kan bygge vannkraftverk i elver som tidligere ble freda.,-1,-2,-1,-2,2,-2,1,-1,1,-1,1,-2,-1,-2,-2,1,-2,-2
9d758147-f7e3-5a4c-b910-81ab512fec63,Det bør være lov med aktiv dødshjelp.,-2,-1,1,-2,2,2,-2,1,-1,-2,-2,-1,1,-2,-2,-2,-1,1
a0c3cd9e-41d2-58d9-9a66-51cfc2b768df,Flere med funksjonsnedsettelser må få brukerstyrt personlig assistent (BPA).,-1,1,2,1,2,2,-1,2,1,1,1,2,2,2,1,2,2,1
a5909010-064e-5753-85f0-90a07cfcddfb,Det er bedre å kjøpe klimakvoter i andre land enn å gjøre dyre klimakutt i Norge.,1,2,2,-2,2,-2,1,1,2,1,2,-2,1,-2,-2,2,-2,-1
a7a13406-3601-52ec-8851-e7c2501b3f12,Ytringsfriheten er truet i Europa på grunn av politisk korrekte holdninger.,-1,2,2,1,2,2,-1,2,2,1,2,-2,-1,-2,-1,-1,-2,-2
a7d42994-083c-5352-a0ee-c3ec00aa9b3b,Norge har gitt altfor lite pengestøtte til Ukraina etter Russlands store angrep i 2022.,-2,-2,-1,-2,-2,-2,2,-1,-1,-1,-2,2,-1,1,1,-2,1,2
ab1ff0f1-e54b-5c48-b443-56ea08ca3fc4,Å flagge med prideflagg på norske skoler skal være forbudt.,-2,2,-1,-1,-1,-2,-2,-1,1,2,2,-2,1,-2,-2,-2,-2,-2
ba039662-fd21-54b4-984b-5d7345718b66,Vi må ha lover mot bygging på matjord slik at vi dyrker mer av maten vår her i landet.,1,2,1,2,-2,2,-1,1,2,2,2,2,2,2,2,2,2,1
ba0b087e-84a5-5fd1-8ad7-c38a91695633,Dropp ny sammenhengende E39 mellom Kristiansand og Ålgård.,-2,2,-2,2,-2,1,-2,-1,-2,-2,-2,2,-2,-1,2,-2,2,-1
bc7d28a9-9c80-567a-a5dd-0eb7ef058f68,Det er et viktig politisk mål å sørge for at vi får flere barn.,2,2,2,1,1,2,2,2,2,2,2,-1,2,1,1,2,-1,1
c577b1bd-b856-5e08-b301-695d6d6fc4df,Norsk politi bør fortsatt være ubevæpnet som hovedregel.,-1,-2,1,2,-2,2,-2,1,2,-1,-2,2,-1,1,2,-2,2,2
c9fda072-ff26-551c-a4b3-2e4ec5d71a3c,Bru- og tunnelprosjektet Møreaksen mellom Sunnmøre og Romsdal bør droppes for godt.,-2,2,-2,2,2,2,-2,1,2,1,2,2,-2,-2,2,-2,2,-1
cabb2209-c2b6-5c28-8d02-3a92013a39e9,Staten bør bidra med penger til bygging av karbonfangstanlegg på Herøya i Porsgrunn.,1,-2,-2,-2,-2,-2,1,-2,-2,-1,-2,2,1,2,-1,-1,1,1
ce992f0c-fc15-5989-b728-650a32b4e470,Oslo må få mulighet til å forby bensin- og dieselbiler i noen områder.,2,-2,-2,1,-2,-1,1,-2,-2,1,-2,2,-2,1,1,-2,2,2
cf68e088-8fc0-5402-86e0-ade2dca77ac9,NRK bør få langt mindre penger fra statsbudsjettet enn i dag. ,-2,2,1,-2,2,-1,-2,1,2,-2,2,-2,-1,-2,-2,-2,-2,-2
d1d904bd-b4fa-5c93-9acb-49890b51b065,Det er bra at oljeselskapene fortsatt får lete etter olje og gass.,2,2,2,-2,2,2,2,2,2,1,2,-2,2,-2,-2,2,-2,-2
d7867c56-6194-586b-b480-3a90562061f9,Legg ned de nyeste lensmannskontorene som politiet selv syns var unødvendige.,-1,-2,-2,-2,2,2,2,1,2,2,-1,-1,-1,1,-2,-2,1,1
dd1e4ab5-5aab-589b-83d2-9e46540739ab,Staten bruker altfor mye penger.,-1,2,2,-2,2,2,1,1,2,1,2,-1,1,-1,-2,-1,-2,1
e3a2c467-c517-5859-86c0-72a9335995bd,Kommuner bør selv kunne bestemme om det skal bygges handelsparker langs motorveiene.,1,-2,2,-2,2,2,1,1,1,1,2,-2,2,-1,-1,2,-2,-1
e3a85e06-d9d9-53ed-b919-fb7aa9204849,"For å redusere grensehandel bør Norge senke avgiftene på mat, tobakk og drivstoff.",-2,2,2,-1,2,2,1,1,2,1,1,-1,2,-1,1,1,-1,-1
e4bd9b6c-4921-5ca8-98ad-295fb4b1e7e7,Det trengs flere kommunesammenslåinger her i landet.,-1,-2,-2,-2,2,-2,2,-2,-1,-1,1,-1,1,-1,-2,-2,-2,2
ecd801d2-8d0a-54e2-8fce-2bfc97df37b2,Det bør bli lettere å ansette folk i en midlertidig periode.,-2,2,1,-2,2,2,2,1,1,1,2,-1,1,1,-2,-1,-2,2
f220b708-923b-51b9-b9ee-5f9cdbb561fb,Vi må ha strengere regler som hindrer flyktninger i å flytte fra bosettingskommunen.,1,2,2,-2,2,1,2,2,1,-2,2,-2,2,-2,1,1,1,-1
f5f021c6-7e90-584c-a254-75cbb107b5ec,Det bør bygges nye strømkabler mellom Sørlandet og Danmark.,-2,-2,-2,-2,-2,-2,1,-2,-2,-1,-2,2,-2,-1,-2,-2,-2,2
f6e819c2-25df-51ab-802a-ec8e13027218,Dropp bygging av ny Ringeriksbane.,-2,-1,-1,-2,-2,-1,-2,-1,-2,-2,1,2,-1,-2,-1,-2,-2,-2
f78e817b-0924-58a3-8266-ecd41f2e5451,Vi må vurdere å redusere sykelønna fordi den bidrar til høyt fravær fra jobb. ,-2,2,-2,-2,1,-2,-2,-1,-1,1,2,-2,-2,-2,-2,-2,-2,2
f7bd9ac6-9469-50fc-9d9e-f166b7844971,Norge må ta seg råd til å utvide velferdsordningene selv om utgiftene til forsvar øker.,1,2,2,2,2,2,-2,2,1,1,-2,2,2,2,2,2,2,-2
fe9cfba2-7320-57bf-8225-6d26ff2979b0,Tiden for store motorveg-utbygginger bør være forbi.,-1,1,-2,2,-2,-1,-2,-2,-2,-1,-2,2,-1,2,2,-2,2,1
0020bf20-46bd-5c6f-803c-bf19940a1a47,Elevene på barneskolen skal slippe å få hjemmelekser.,-1,-2,2,1,-2,2,-2,1,1,-1,-2,2,1,2,2,1,2,-1
02177bb4-70ec-5d95-9ec3-76a1edb9d76a,Det bør være opp til hver enkelt kommune å tillate bygging i strandsonen.,-1,-2,-1,-2,2,1,1,1,-1,1,2,-2,2,-2,-2,-1,-2,-2
0911d8e4-573b-56f3-aeda-3f13927de830,Det er viktig å bruke penger på å bygge ny teatermusikksal ved siden av Grieghallen.,1,-2,-2,-2,-2,-2,-1,1,1,1,-2,2,2,-2,-1,1,2,2
09f8df3c-750b-56d2-9367-d1934cf0488f,Det må være grundigere tilsyn med koranskoler i Norge for å forhindre radikalisering.,-1,2,1,-2,2,2,2,1,2,1,2,-1,1,-2,1,2,1,1
1158e006-b9e3-521d-a43c-05b80711d379,Det bør være flere rovdyr i Norge enn det rovdyrforliket i Stortinget har fastsatt.,-2,1,1,1,-2,2,-1,-1,-2,-2,-2,1,-2,-1,-2,-2,1,-1
13fea2c0-bafe-5f99-8a1a-f9fe5e0a1529,Motorferdsel i utmark må reguleres strengere.,-1,2,-1,1,-2,2,-2,1,-2,1,-2,2,1,1,2,-2,2,1
178f7164-5d8d-5625-a2ed-e90115f4f50f,Nordland fylkeskommune må få innføre valgfritt sidemål i videregående skole.,-2,2,2,2,2,2,2,-1,2,-2,2,-1,2,-2,1,-2,-2,-1
1bde811d-4083-59ba-9763-800579cf2e7d,Sykehusene må ha langsiktige avtaler med private helsetilbud for å få ned ventetidene.,1,2,1,-2,2,2,2,2,2,1,2,1,2,1,-2,-1,-1,1
1dd66758-d960-50b0-b622-41e431c16cc1,«Lakseskatten» for fiskeoppdrettere rammer distriktsarbeidsplasser negativt.,-2,-1,2,-1,2,2,2,1,2,1,2,-2,-1,-2,-2,-1,-2,-1
2000c40c-c978-5d5d-a5c3-2e69ef06059c,Noen av de store trålernes fiskekvoter bør gis til kystfiskere med mindre båter. ,1,2,2,2,-2,2,-2,1,2,-1,2,2,1,1,2,1,2,-1
232d69ef-19bc-5165-b517-c33a1e9b6190,Det er på høy tid å inngå byvekstavtale for Drammen.,-1,-2,1,1,-2,2,-1,-1,-2,2,-2,2,-2,-1,-1,-1,2,2
233393c4-b132-5936-b055-066ec565931a,Kristne verdier må ut av skolens formålsparagraf.,-1,-2,-1,2,-2,-2,-2,-1,-2,-2,-2,2,-2,-1,2,-2,2,2
258635de-fa94-5c46-afbe-0c1af91c7b59,Det bør åpnes for vindkraftutbygging også i Akershus.,1,-2,-2,-2,-1,-2,1,-2,-2,1,-2,-1,-2,-1,-2,-1,-2,1
267f8ae4-d60f-5f43-9986-432689dee51e,Det bør bygges kjernekraftverk på Mongstad.,-1,1,2,-2,2,1,1,2,1,-1,1,-1,2,1,-1,1,-2,-1
2d15be2d-3f99-5b6d-8732-173f51d7223a,Billighandel fra det kinesiske selskapet Temu bør være forbudt.,-1,-1,-1,1,-2,2,-1,-1,-1,1,-1,2,1,1,1,-1,2,-1
36e7ecfe-17f4-5208-b5ac-fadf14e0a768,Vesten og Nato har et stort ansvar for at det ble krig mellom Russland og Ukraina.,-2,2,-2,2,-2,-1,-2,-1,-1,-2,2,-2,-1,-2,-2,-2,-2,-2
4339125b-4702-57f6-a90b-7ed9d765aa30,Rettighetene til personer med funksjonsnedsettelser må styrkes i norsk lovverk.,2,-1,2,2,1,2,-1,2,1,2,-1,2,2,2,2,2,2,2
48d317a0-55f4-5f51-9b58-0cb8d17221bf,Nedlagte lensmannskontor må åpne igjen.,-2,2,2,2,-2,1,-2,1,-1,-2,2,-1,-2,-2,2,1,-2,-2
4ef75674-252a-4f7c-ac2e-a6c9f3306881,Maksstraffen for de mest alvorlige forbrytelsene må økes til 50 år.,-2,2,1,-2,2,1,1,-1,1,-1,2,-2,-1,-2,-2,-2,-2,-2
53b43ada-41a9-583e-ba9b-04ad10970c2b,Norge må trappe opp bistanden til fattige land nå som Donald Trump avvikler den.,1,-2,1,1,-2,-2,-1,-1,-2,2,-2,2,-1,2,2,1,2,1
5991c2ef-cfb9-5ec6-bc16-fe7a1100f5f4,Det må bygges ut industri i Finnmark selv om dette går ut over natur og miljø.,2,-2,1,-2,2,-2,1,-1,1,1,1,-1,1,-1,-2,1,-1,-2
5b6606e9-9564-5dd8-943c-33789d2137eb,Det bør bygges ut mer vindkraft i Sogn og Fjordane.,1,-2,-2,-2,-2,-2,2,-2,-2,1,-2,-2,-2,-1,-2,-1,-2,1
5baa8b3d-7485-5e1d-a709-f6068fbdd07f,Det bør bygges mer vindkraft på land i Nordland.,1,-2,-2,-2,-2,-2,1,-2,-2,-1,-2,-1,-2,-1,-2,-1,-2,1
5ec0660a-4dce-5b1b-aff4-ca1a1d48ca53,Man bør betale like høy avgift (moms) på bøker som på alle andre varer.,-2,-2,-1,-2,1,-2,2,-1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2
6437f91f-5e87-5be8-b6b5-0f91a1baef5d,Vi kan avvikle en god del av tollvernet som beskytter norsk landbruk. ,-1,-2,-1,-2,2,-2,1,-2,-2,-1,-1,-2,-1,-2,-2,-2,-2,2
6b50ce41-b5c5-5434-a9ac-16fc818ea550,Politiet må ha lov til å ta spyttprøver ved mistanke om bruk av ulovlige rusmidler.,1,2,-1,-2,2,-2,-2,-1,2,2,2,-2,2,-1,-2,2,-2,-2
6c505df9-6f1f-5ab5-b919-9949572820b2,Dødsfall i familien og andre personlige kriser bør gi rett til sorgpermisjon fra jobb.,-1,-1,2,2,1,2,-1,1,-2,2,1,1,1,1,1,-1,1,1
7a502588-3c3d-5b54-a0e7-65b19f53e334,Vi bør skaffe oss kjernekraftverk i Norge.,-1,2,2,-2,2,2,1,2,2,2,2,1,2,1,1,1,-2,1
7d2a9706-f191-5648-924d-7087a1c15b77,Staten bør slutte å gi billigere barnehage til foreldre i Sogn og Fjordane.,-2,-1,-2,-2,-2,-2,2,-1,-1,-2,1,-1,-2,-2,-2,-2,-2,-2
7db76dce-1392-4f42-bb83-6b8c1f2d7778,Norge burde ha erklært at det var uaktuelt å kjøpe forsvarets nye fregatter fra USA.,-2,1,2,2,-2,-1,-2,-1,-1,-1,-2,2,-1,2,2,-1,2,1
83abcb66-a154-52d5-ac51-48d5050b50d1,Reglene for hyttebygging i Agder bør strammes inn.,1,2,-1,2,-2,2,-2,1,1,1,-2,2,-2,2,2,-1,2,2
